Rk,Player,Pos,Age,Tm,G,MP,PER,TS%▼,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
104,Kyle Anderson\anderky01,PF,27,MEM,51,1389,17.1,.572,.397,.267,2.9,20.4,11.4,17.8,2.2,2.6,10.8,18.8,,1.9,2.1,4.0,.138,,1.2,1.7,3.0,1.7
105,Jayson Tatum\tatumja01,SF,22,BOS,50,1776,20.8,.572,.369,.233,2.2,20.1,11.1,19.9,1.7,1.2,10.2,30.3,,3.0,1.9,4.9,.134,,4.0,-0.4,3.6,2.5
106,Justin Holiday\holidju01,SG,31,IND,54,1697,10.6,.571,.724,.137,1.8,11.1,6.5,7.0,1.9,1.1,7.9,14.1,,1.1,1.4,2.5,.072,,-0.6,-0.2,-0.8,0.5
107,Malik Beasley\beaslma01,SG,24,MIN,37,1214,14.7,.570,.535,.133,2.4,12.5,7.2,11.9,1.2,0.5,8.6,24.1,,0.9,0.4,1.3,.050,,1.7,-2.3,-0.6,0.4
108,Bojan Bogdanović\bogdabo02,SF,31,UTA,55,1671,12.6,.570,.521,.277,2.0,11.5,6.9,8.6,0.8,0.1,9.7,20.9,,1.9,1.7,3.6,.103,,-0.3,-1.0,-1.3,0.3
109,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,52,1404,9.6,.570,.550,.201,1.9,9.1,5.6,8.4,1.4,1.1,11.9,14.2,,0.7,2.0,2.7,.092,,-2.1,0.2,-1.9,0.0
110,Nikola Vučević\vucevni01,C,30,TOT,55,1851,23.8,.570,.312,.121,6.1,30.3,17.8,20.9,1.4,2.0,7.7,29.4,,3.1,2.4,5.5,.144,,5.5,0.2,5.7,3.6
111,Donovan Mitchell\mitchdo01,PG,24,UTA,52,1750,21.4,.569,.422,.289,3.1,10.5,7.0,26.8,1.4,0.6,10.5,33.3,,4.2,2.1,6.3,.172,,4.1,-0.6,3.5,2.4
112,Kendrick Nunn\nunnke01,PG,25,MIA,41,1169,13.1,.569,.481,.099,1.7,10.6,6.3,15.1,1.8,1.0,11.4,21.0,,0.3,1.3,1.6,.066,,-1.0,0.0,-1.0,0.3
113,Isaiah Roby\robyis01,PF,22,OKC,45,1060,12.5,.569,.238,.303,6.9,18.4,12.6,11.7,1.7,2.4,19.4,17.6,,0.1,1.2,1.3,.057,,-3.2,0.4,-2.9,-0.2
